name,count,r,g,b
chill,49000,153.557,191.59267,219.3894
study,7000,58.410343,18.930037,160.07854
indie rock,97000,173.79399,137.59135,166.9137
electronic,72000,76.104675,181.41277,88.55666
happy,14000,3.9949841,63.955097,96.8112
country,9000,193.8512,3.4286473,131.49669
alternative rock,109000,16.08142,47.991516,84.73059
party,12000,41.747784,116.819305,254.63129
hip hop,48000,243.26088,168.24397,48.712048
mashup,3700,135.98763,104.25868,229.88889
relax,9000,252.20807,226.17967,56.846104
piano,3100,203.9756,170.39656,107.02845
soundtrack,20000,178.91638,123.0715,202.35045
90s,3300,195.88046,132.38676,252.35632
punk,10000,48.980286,174.82971,217.92949
instrumental,6000,192.96402,62.46041,200.1774
morning,1500,164.63914,71.123856,162.18529
classical,5000,165.86342,10.272095,86.44675
sex,3800,184.51648,159.37552,54.064457
love,16000,195.12134,10.421245,65.161575
fun,5000,68.039986,58.934624,97.972244
workout,3100,21.88061,48.237408,120.82412
christmas,2200,41.175915,133.8902,84.97755
weed,1900,5.8060274,239.1851,125.8216
jazz,14000,81.952255,26.862263,156.69725
acoustic,17000,165.99217,212.32767,132.2571
